"Agora id",,"English Term","English Expert definition","English Simple definition"
3359,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=3359&search_mode=solr","biobased economy","A biobased economy is defined as an economy that uses renewable bioresources, efficient bioprocesses and eco-industrial clusters to produce sustainable bioproducts, jobs and income.<br>[OECD/Biotechnology for Sustainable Growth and Development/2003]",
4736,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=4736&search_mode=solr","public good","Good/service for which property rights are not defined.Without government intervention, environmental goods (e.g. clean air) are usually treated as public.<br>[ECMT/Social Costs Glossary/02-1997]",
7643,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=7643&search_mode=solr","final agricultural output","Final agricultural output measures the value of agricultural products which, free of intra-branch consumption, is produced during the accounting period and, before processing, is available for export and/or consumption. Context: The measure of output refers to final output. In comparison to harvested output this narrower concept excludes: - intra-branch consumption, whether by the producing farm or by a farm other than the producing farm, and, concerning crop products - losses between harvest and utilisation/storage. [OECD/Economic Accounts for Agriculture: Presentation and Methodological Approach/1999, page 6. http://stats.oecd.org/glossary/detail.asp?ID=956]",
12549,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=12549&search_mode=solr","Community reserve","A quantity of milk production, approved by the Council of Ministers, which may be added to Member countries' milk quotas in order to improve the situation of certain farmers.<br>[OECD/Agricultural Policies, Markets and Trade/1992]",
14045,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=14045&search_mode=solr","commercial farm household","<p>Commercial households are farm households which cultivate more than 0.3 ha of land or sell more than JPY 500 000 of farm products and are further sub-categorized as follows according to the extent of non-farm employment. Business farm household: a farm household whose farm income is more than half of total household income and which has at least one family member (less than 65 years old) engaged in farming more than 60 days. Semi-business farm household: a farm household whose farm income is less than half of total household income and which has at least one family member (less than 65 years old) engage in farming more than 60 days. Side-business farm household: a farm household in which no member either engages in farming more than 60 days or is less than 65 years old. Full-time farm household: a farm household in which no member engages in non-farm employment for more than 30 days or who is self-employed with income more than JPY 150 000. Part-time farm household type 1: farm household where at least one member engages in non-farm employment and whose farm income exceeds their non-farm income Part-time farm household type 2: farm household where at least one member engages in non-farm employment and whose non-farm income exceeds their farm income.</p><p>[TAD/CA/APM/WP(2008)11/REV1, encadré 1.2, p. 18]</p>",
14050,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=14050&search_mode=solr","part-time farm household type 1","<p>Commercial households are farm households which cultivate more than 0.3 ha of land or sell more than JPY 500 000 of farm products and are further sub-categorized as follows according to the extent of non-farm employment. Business farm household: a farm household whose farm income is more than half of total household income and which has at least one family member (less than 65 years old) engaged in farming more than 60 days. Semi-business farm household: a farm household whose farm income is less than half of total household income and which has at least one family member (less than 65 years old) engage in farming more than 60 days. Side-business farm household: a farm household in which no member either engages in farming more than 60 days or is less than 65 years old. Full-time farm household: a farm household in which no member engages in non-farm employment for more than 30 days or who is self-employed with income more than JPY 150 000. Part-time farm household type 1: farm household where at least one member engages in non-farm employment and whose farm income exceeds their non-farm income Part-time farm household type 2: farm household where at least one member engages in non-farm employment and whose non-farm income exceeds their farm income.</p><p>[TAD/CA/APM/WP(2008)11/REV1, encadré 1.2, p. 18]</p>",
14051,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=14051&search_mode=solr","part-time farm household type 2","<p>Commercial households are farm households which cultivate more than 0.3 ha of land or sell more than JPY 500 000 of farm products and are further sub-categorized as follows according to the extent of non-farm employment. Business farm household: a farm household whose farm income is more than half of total household income and which has at least one family member (less than 65 years old) engaged in farming more than 60 days. Semi-business farm household: a farm household whose farm income is less than half of total household income and which has at least one family member (less than 65 years old) engage in farming more than 60 days. Side-business farm household: a farm household in which no member either engages in farming more than 60 days or is less than 65 years old. Full-time farm household: a farm household in which no member engages in non-farm employment for more than 30 days or who is self-employed with income more than JPY 150 000. Part-time farm household type 1: farm household where at least one member engages in non-farm employment and whose farm income exceeds their non-farm income Part-time farm household type 2: farm household where at least one member engages in non-farm employment and whose non-farm income exceeds their farm income.</p><p>[TAD/CA/APM/WP(2008)11/REV1, encadré 1.2, p. 18]</p>",
14065,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=14065&search_mode=solr","fixed capital formation","<p>Transfers reducing the on-farm investment cost of farm buildings, equipment, plantations, irrigation, drainage and soil improvements.</p><p>[OECD/PSE Manual/2009]</p>",
19206,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=19206&search_mode=solr","least developed countries (LDCs)","<p>Least Developed Countries. Group established by the United Nations. To be classified as an LDC, countries must fall below thresholds established for income, economic diversification and social development. The DAC List is updated immediately to reflect any change in the LDC group.<em>[OECD/Development Co-operation Report/Glossary/2004]</em></p>",
19624,"http://www.oecd-agora.org/modules/webportal/results.php?op=single&idbase=16&idnotice=19624&search_mode=solr","capital","<p>In the context of sustaining well-being, the term “capital” is used to refer to the durable economic, natural, human and social resources that help to shape or drive well-being outcomes over time. Capital stocks are characterised by persistence over time, a capacity to store value, and an ability to generate a stream of benefits to society over time. Capital accumulates slowly through investment, can depreciate over time, and can be depleted in a number of ways (e.g. through consumption, neglect or damage). See also: Economic capital, human capital, natural capital and social capital. <br />[OECD/How’s Life? Measuring Well –being/Glossary/2013]</p>",
